User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
Accountant,ASIA27ZCBQQG3F4AY2WI,2021-04-03T01:06:21Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],3506a562-7831-4ca6-b08d-5205f5d91a8a,9c482f9b-5396-4857-a08b-3e07f2ec5b9b,false,AwsApiCall,755448775693,Management
CloudTrail,ASIA27ZCBQQG5IZTDG7Y,2021-04-03T01:05:07Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],55bdd74c-2dfa-40b7-870e-afaadbc1da57,847d9b6c-6c39-4bd3-b85f-fcc998147b54,false,AwsApiCall,755448775693,Management
CloudTrail,,2021-04-03T01:04:49Z,signin.amazonaws.com,ConsoleLogin,us-east-1,49.37.215.97,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_1_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",,[],,60485804-c58a-44e1-a5bd-9190bc5ae3cb,false,AwsConsoleSignIn,755448775693,Management
root,ASIA27ZCBQQGVIRL6KWU,2021-04-03T01:01:40Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,49.37.215.97,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",62c0b627-1e46-4e1e-a4fb-e56d57ea1eba,7ee029e7-b977-4b8f-b39e-cbc803a07e05,false,AwsApiCall,755448775693,Management
root,ASIA27ZCBQQGVIRL6KWU,2021-04-03T01:01:38Z,iam.amazonaws.com,AddUserToGroup,us-east-1,49.37.215.97,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",37a3375b-bc10-4caa-ac8a-25623f4d07f9,72ff7152-0bea-43a2-873f-99a6ce4c299a,false,AwsApiCall,755448775693,Management
root,ASIA27ZCBQQGVIRL6KWU,2021-04-03T01:01:38Z,iam.amazonaws.com,CreateUser,us-east-1,49.37.215.97,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA27ZCBQQG25LGJ2UHG""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::755448775693:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",e9801d1e-258b-4841-a712-5f02ff2c7e2d,ed4bc52f-41bd-4a7b-b23b-76893307e21e,false,AwsApiCall,755448775693,Management
root,ASIA27ZCBQQGVIRL6KWU,2021-04-03T01:00:37Z,iam.amazonaws.com,CreateLoginProfile,us-east-1,49.37.215.97,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",ec6b1f6a-3438-4be2-82c9-42781d1c85e5,afe4ad31-aa90-449a-96a6-b1410100e9ac,false,AwsApiCall,755448775693,Management
root,ASIA27ZCBQQGVIRL6KWU,2021-04-03T01:00:36Z,iam.amazonaws.com,AddUserToGroup,us-east-1,49.37.215.97,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",aa6dacd2-8b09-4738-b7f5-8a695d73d926,25fc38e8-8496-4867-b707-c0434d290ec7,false,AwsApiCall,755448775693,Management
root,ASIA27ZCBQQGVIRL6KWU,2021-04-03T01:00:36Z,iam.amazonaws.com,CreateUser,us-east-1,49.37.215.97,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA27ZCBQQGWLPVHPNJ2""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::755448775693:user/CloudTrail""}]",5ac8148a-896b-4798-809c-79933daf21ed,ff52d532-9ddb-4129-881a-c0b093c42c8f,false,AwsApiCall,755448775693,Management
root,ASIA27ZCBQQGVIRL6KWU,2021-04-03T00:57:38Z,iam.amazonaws.com,CreateGroup,us-east-1,49.37.215.97,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPA27ZCBQQGSFRZWMVCV""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::755448775693:group/Reviewers""}]",5586dfff-9fe3-45cb-bf9f-2de1156ebcd2,99fac8cf-6f5d-4aa7-8b38-1c6881dc3d14,false,AwsApiCall,755448775693,Management
